Longitude,Latitude,D_Middle School,Rooms,Halls,Area,Orientation,Renovation,Floor_Position,Total_Floors,Building_Type,D_Hospital,D_Subway Station,D_Primary_School,Price
120.7604284,31.31627799,1144.30622,4,2,141.46,2,1,1,7,1,510.5195793,740.6045068,402.6684059,855
120.7027444,31.3360013,3532.201085,3,2,139.02,2,1,2,27,1,2966.625792,1174.800226,1577.092684,828
120.716483,31.33772489,3013.435877,4,2,128.99,2,1,2,18,3,1681.089545,1098.843519,2252.904055,695
120.7609599,31.31266878,1148.749839,4,2,142.82,2,1,2,11,1,611.986172,549.9686549,597.9094242,760
120.7027444,31.3360013,3532.201085,3,2,135.93,2,1,2,31,1,2966.625792,1174.800226,1577.092684,710
120.7027444,31.3360013,3532.201085,2,1,77.05,2,1,2,14,3,2966.625792,1174.800226,1577.092684,400
120.7630349,31.33931236,3187.343862,4,2,141.29,2,1,2,17,1,2572.493553,0,2653.272381,728
120.7027444,31.3360013,3532.201085,2,2,101.6,2,1,3,25,1,2966.625792,1174.800226,1577.092684,520
120.7247882,31.37365208,1148.696997,5,3,329.05,2,2,1,3,1,1238.623057,1629.27503,1148.696997,1680
120.754282,31.31754591,695.1237548,3,2,125.71,2,1,1,9,3,1103.138783,483.5428505,236.6936476,625
120.7184303,31.25190914,480.8366493,3,2,141.49,2,1,2,4,1,6135.35573,752.1125234,1461.521095,688
120.6360977,31.30184995,1156.174088,2,1,47.56,2,2,1,3,1,91.52349487,554.1337382,403.0229899,231
120.7074436,31.33622538,3346.168626,3,2,92.97,2,1,2,11,1,2521.23756,954.9843546,1760.072353,449
120.7074436,31.33622538,3346.168626,4,2,126.01,2,1,2,11,3,2521.23756,954.9843546,1760.072353,608
120.716483,31.33772489,3013.435877,3,2,99.94,2,3,2,18,3,1681.089545,1098.843519,2252.904055,480
120.7027444,31.3360013,3532.201085,2,2,83.55,2,1,2,18,3,2966.625792,1174.800226,1577.092684,399
120.7027444,31.3360013,3532.201085,3,2,148.42,2,1,3,23,1,2966.625792,1174.800226,1577.092684,699
120.7372849,31.33707796,2862.75083,4,1,132.98,2,1,3,22,1,366.0966506,978.4787485,2936.955445,620
120.6655767,31.31683166,1359.02502,2,1,86.08,2,1,1,5,1,1383.544064,418.5963892,1487.738238,399
120.5798917,31.29176299,905.748003,4,1,141.02,2,1,2,32,2,1498.638736,663.1869957,193.3359431,650
120.7027444,31.3360013,3532.201085,2,2,97.43,2,1,2,20,1,2966.625792,1174.800226,1577.092684,448
120.6775255,31.31542066,2171.238434,3,1,123.38,2,1,3,11,1,2478.890685,793.2428379,2418.045402,566
120.5785207,31.28858247,624.9986838,3,2,116.76,2,3,3,18,1,1851.098441,778.2221582,553.9934145,535
120.6416646,31.30353669,606.0184629,2,1,54.79,2,1,3,4,1,643.0111516,829.7590742,466.5339747,248
120.7074436,31.33622538,3346.168626,4,2,125.32,2,1,1,19,3,2521.23756,954.9843546,1760.072353,560
120.7074436,31.33622538,3346.168626,3,2,96.37,2,1,2,8,1,2521.23756,954.9843546,1760.072353,428
120.7027444,31.3360013,3532.201085,3,2,88.17,2,1,2,19,1,2966.625792,1174.800226,1577.092684,390
120.7609599,31.31266878,1148.749839,4,1,141.99,2,1,3,25,1,611.986172,549.9686549,597.9094242,625
120.7312312,31.32218056,1945.639447,4,2,137.52,2,1,2,16,1,1492.253775,478.193194,2174.227438,598
120.7438569,31.31356554,479.0701533,3,2,126.81,2,1,2,11,1,2106.787771,1133.477828,1207.189024,550
120.7487893,31.31101815,255.954897,2,2,97.46,2,1,2,11,1,1719.562323,632.8833484,907.5446847,420
